file,#var,#clause,#literal
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case200.cnf, 14, 42, 120
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case206.cnf, 14, 42, 120
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case60.cnf, 15, 35, 97
/home/users/ozeyen/Benchmarks/V15/s27_new_15_7.cnf, 17, 43, 79
/home/users/ozeyen/Benchmarks/V3/s27_new_3_2.cnf, 17, 31, 67
/home/users/ozeyen/Benchmarks/V7/s27_new_7_4.cnf, 17, 35, 71
/home/users/ozeyen/Benchmarks/V3/s27_3_2.cnf, 20, 43, 103
/home/users/ozeyen/Benchmarks/V7/s27_7_4.cnf, 24, 63, 155
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case103.cnf, 32, 86, 242
/home/users/ozeyen/Benchmarks/V15/s27_15_7.cnf, 32, 103, 259
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case102.cnf, 34, 92, 256
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case127.cnf, 36, 104, 282
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case128.cnf, 36, 104, 282
/home/users/ozeyen/Benchmarks/FeatureModels/FM-3.6.1-refined.cnf, 45, 104, 239
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case28.cnf, 51, 143, 391
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case33.cnf, 51, 143, 391
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case27.cnf, 52, 146, 398
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case32.cnf, 52, 146, 398
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case26.cnf, 53, 148, 403
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case31.cnf, 53, 148, 403
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case134.cnf, 60, 146, 402
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case137.cnf, 60, 146, 402
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case36.cnf, 64, 208, 600
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case24.cnf, 65, 190, 526
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case29.cnf, 65, 190, 526
/home/users/ozeyen/Benchmarks/tutorial1.sk_1_1.cnf, 67, 66, 66
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case25.cnf, 68, 195, 529
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case30.cnf, 68, 195, 529
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case100.cnf, 72, 178, 490
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case101.cnf, 72, 178, 490
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case17.cnf, 77, 235, 654
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case23.cnf, 77, 235, 654
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case59_1.cnf, 93, 285, 815
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case59.cnf, 93, 285, 815
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case64.cnf, 93, 285, 815
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case58.cnf, 96, 299, 857
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case63.cnf, 96, 299, 857
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case4.cnf, 103, 316, 881
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case11.cnf, 105, 371, 1061
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case43.cnf, 116, 421, 1205
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case45.cnf, 116, 421, 1205
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case7.cnf, 116, 365, 1023
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case47.cnf, 118, 328, 890
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case21.cnf, 126, 411, 1122
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case22.cnf, 126, 411, 1122
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case51.cnf, 132, 395, 1041
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case52.cnf, 132, 395, 1041
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case53.cnf, 132, 395, 1041
